DateKey,Year,Month,MonthAbbr,MonthNumber,Quarter,QuarterNumber,YearMonth,YearQuarter
202301,2023,January,Jan,1,Q1,1,2023-01,2023 Q1
202302,2023,February,Feb,2,Q1,1,2023-02,2023 Q1
202303,2023,March,Mar,3,Q1,1,2023-03,2023 Q1
202304,2023,April,Apr,4,Q2,2,2023-04,2023 Q2
202305,2023,May,May,5,Q2,2,2023-05,2023 Q2
202306,2023,June,Jun,6,Q2,2,2023-06,2023 Q2
202307,2023,July,Jul,7,Q3,3,2023-07,2023 Q3
202308,2023,August,Aug,8,Q3,3,2023-08,2023 Q3
202309,2023,September,Sep,9,Q3,3,2023-09,2023 Q3
202310,2023,October,Oct,10,Q4,4,2023-10,2023 Q4
202311,2023,November,Nov,11,Q4,4,2023-11,2023 Q4
202312,2023,December,Dec,12,Q4,4,2023-12,2023 Q4
202401,2024,January,Jan,1,Q1,1,2024-01,2024 Q1
202402,2024,February,Feb,2,Q1,1,2024-02,2024 Q1
202403,2024,March,Mar,3,Q1,1,2024-03,2024 Q1
202404,2024,April,Apr,4,Q2,2,2024-04,2024 Q2
202405,2024,May,May,5,Q2,2,2024-05,2024 Q2
202406,2024,June,Jun,6,Q2,2,2024-06,2024 Q2
202407,2024,July,Jul,7,Q3,3,2024-07,2024 Q3
202408,2024,August,Aug,8,Q3,3,2024-08,2024 Q3
202409,2024,September,Sep,9,Q3,3,2024-09,2024 Q3
202410,2024,October,Oct,10,Q4,4,2024-10,2024 Q4
202411,2024,November,Nov,11,Q4,4,2024-11,2024 Q4
202412,2024,December,Dec,12,Q4,4,2024-12,2024 Q4
