IncidentKey,DateKey,SeverityKey,AttackTypeKey,DepartmentKey,SourceKey,IncidentCount,ResolvedFlag,TimeToResolveHours,DataBreachOccurred,EstimatedCostUSD
1000,202301,1,8,1,1,1,1,35.7,0,40516.0
1001,202301,1,1,6,6,1,1,42.9,1,77761.0
1002,202301,1,1,1,2,1,1,11.4,0,24476.0
1003,202301,1,9,6,6,1,1,26.3,0,58234.0
1004,202301,1,10,1,7,1,1,38.7,0,62562.0
1005,202301,1,1,2,7,1,1,16.4,1,16927.0
1006,202301,2,3,5,2,1,1,9.7,0,49496.0
1007,202301,2,6,1,3,1,1,1.2,0,3609.0
1008,202301,2,8,5,8,1,1,4.5,0,11353.0
1009,202301,2,1,1,6,1,1,3.0,0,8967.0
1010,202301,2,1,2,8,1,1,1.5,0,4401.0
1011,202301,2,8,3,1,1,1,4.6,0,11986.0
1012,202301,2,2,7,6,1,1,7.9,0,35738.0
1013,202301,2,1,5,6,1,1,3.2,0,12220.0
1014,202301,2,2,6,6,1,1,6.8,0,33226.0
1015,202301,2,10,8,1,1,1,3.0,0,5262.0
1016,202301,2,3,4,2,1,1,1.1,0,6581.0
1017,202301,2,7,7,2,1,1,2.8,0,11190.0
1018,202301,2,8,4,1,1,1,3.4,0,9465.0
1019,202301,2,6,5,2,1,1,9.0,0,32908.0
1020,202301,2,7,4,2,1,1,2.9,0,18526.0
1021,202301,2,6,4,1,1,1,9.1,0,52173.0
1022,202301,2,1,6,1,1,1,9.6,0,34813.0
1023,202301,3,1,4,3,1,1,2.5,0,14425.0
1024,202301,3,2,5,8,1,1,3.8,0,27733.0
1025,202301,3,1,6,4,1,1,3.1,0,24595.0
1026,202301,3,3,1,2,1,1,1.9,0,10767.0
1027,202301,3,9,7,2,1,1,3.9,0,30756.0
1028,202301,3,6,1,8,1,1,2.6,0,21996.0
1029,202301,3,6,5,2,1,1,0.9,0,7101.0
1030,202301,3,6,8,4,1,1,3.7,0,24836.0
1031,202301,3,5,1,1,1,1,3.7,0,32289.0
1032,202301,3,10,2,2,1,1,0.5,0,4361.0
1033,202301,3,1,1,6,1,1,2.1,0,6086.0
1034,202301,3,10,5,7,1,1,0.8,0,5720.0
1035,202301,3,6,2,2,1,1,2.3,0,15565.0
1036,202301,3,2,5,7,1,1,3.0,0,11545.0
1037,202301,3,2,4,6,1,1,2.7,0,14997.0
1038,202301,3,6,4,1,1,1,1.2,0,3433.0
1039,202301,3,1,5,4,1,1,1.2,0,4783.0
1040,202301,3,1,7,6,1,1,0.5,0,1443.0
1041,202301,3,1,3,1,1,1,2.2,0,9691.0
1042,202301,3,5,2,4,1,1,0.8,0,7309.0
1043,202301,3,7,5,3,1,1,1.2,0,6966.0
1044,202301,3,4,2,1,1,1,0.7,0,3852.0
1045,202301,3,4,4,3,1,1,3.5,0,9765.0
1046,202301,3,8,6,1,1,1,0.5,0,3822.0
1047,202301,3,10,1,2,1,1,1.0,0,6261.0
1048,202301,3,1,4,1,1,1,1.3,0,5458.0
1049,202301,3,1,4,7,1,1,3.5,0,22268.0
1050,202301,3,1,6,4,1,1,3.4,0,31881.0
1051,202301,3,10,2,1,1,1,1.8,0,10558.0
1052,202301,3,4,1,1,1,1,1.7,0,16140.0
1053,202301,3,2,8,7,1,1,2.0,0,10891.0
1054,202301,3,9,8,4,1,1,2.7,0,15941.0
1055,202301,3,2,2,2,1,1,3.9,0,25623.0
1056,202301,4,6,1,6,1,1,1.5,0,5522.0
1057,202301,4,5,5,8,1,1,2.3,0,8616.0
1058,202301,4,6,1,8,1,1,1.0,0,8912.0
1059,202301,4,8,2,3,1,1,0.7,0,8223.0
1060,202301,4,2,5,5,1,1,0.4,0,1595.0
1061,202301,4,8,5,5,1,1,2.2,0,26781.0
1062,202301,4,2,6,6,1,1,1.5,0,8625.0
1063,202301,4,1,6,6,1,1,1.4,0,8729.0
1064,202301,4,10,1,1,1,1,2.0,0,25570.0
1065,202301,4,1,1,4,1,1,1.1,0,6321.0
1066,202301,4,3,1,2,1,1,1.7,0,8014.0
1067,202301,4,6,7,2,1,1,2.6,0,32961.0
1068,202301,4,8,5,1,1,1,2.8,0,23868.0
1069,202301,4,8,1,1,1,1,1.3,0,15264.0
1070,202301,4,9,5,1,1,1,1.3,0,11708.0
1071,202301,4,9,3,2,1,1,2.8,0,31886.0
1072,202301,4,6,4,2,1,1,3.6,0,40761.0
1073,202301,4,1,6,3,1,1,3.4,0,12319.0
1074,202301,4,3,8,1,1,1,2.7,0,15430.0
1075,202301,4,9,4,4,1,1,2.9,0,24896.0
1076,202301,4,1,1,6,1,1,3.6,0,30376.0
1077,202301,4,3,5,4,1,1,0.8,0,3539.0
1078,202301,4,2,3,7,1,1,3.9,0,13974.0
1079,202301,4,3,2,6,1,1,1.2,0,5024.0
1080,202301,4,10,5,8,1,1,1.8,0,16485.0
1081,202301,4,1,2,8,1,1,0.9,0,9791.0
1082,202301,4,1,4,1,1,1,1.0,0,12075.0
1083,202301,4,10,4,7,1,1,2.8,0,28718.0
1084,202301,4,2,2,1,1,1,3.2,0,13561.0
1085,202301,4,1,4,2,1,1,1.0,0,12017.0
1086,202301,4,3,2,8,1,1,3.2,0,17232.0
1087,202301,4,1,6,2,1,1,1.8,0,10574.0
1088,202301,4,1,8,2,1,1,1.6,0,12944.0
1089,202301,4,8,5,2,1,1,3.8,0,16368.0
1090,202301,4,2,2,5,1,1,3.9,0,22419.0
1091,202301,4,1,5,3,1,1,1.6,0,17200.0
1092,202301,4,4,5,4,1,1,0.7,0,8285.0
1093,202301,4,2,2,1,1,1,2.9,0,9327.0
1094,202301,4,10,5,6,1,1,3.0,0,30968.0
1095,202301,4,8,2,2,1,1,1.9,0,23387.0
1096,202301,4,3,5,2,1,1,2.8,0,12310.0
1097,202301,4,2,5,2,1,1,2.8,0,17728.0
1098,202301,4,9,2,4,1,1,0.8,0,5789.0
1099,202301,4,4,6,6,1,1,3.6,0,32792.0
1100,202301,4,2,4,4,1,1,3.4,0,20798.0
1101,202301,4,2,4,7,1,1,2.4,0,22764.0
1102,202401,1,4,4,3,1,1,32.5,0,87911.0
1103,202401,1,9,7,1,1,1,31.7,0,75866.0
1104,202401,1,6,3,1,1,1,39.3,0,94898.0
1105,202401,1,1,8,2,1,1,7.3,1,23079.0
1106,202401,1,6,8,1,1,1,22.0,0,47995.0
1107,202401,1,8,7,3,1,1,23.9,0,56751.0
1108,202401,1,1,8,8,1,1,37.0,1,67353.0
1109,202401,2,1,8,6,1,1,6.4,0,11783.0
1110,202401,2,1,1,3,1,1,1.9,0,7278.0
1111,202401,2,5,5,5,1,1,4.0,0,20901.0
1112,202401,2,4,5,8,1,1,8.7,0,35000.0
1113,202401,2,5,4,1,1,1,9.0,0,34906.0
1114,202401,2,2,8,2,1,1,10.1,0,29604.0
1115,202401,2,9,5,3,1,1,7.6,0,22177.0
1116,202401,2,1,7,2,1,1,3.0,0,9636.0
1117,202401,2,5,1,1,1,1,2.1,0,7221.0
1118,202401,2,1,7,2,1,1,1.1,0,3912.0
1119,202401,2,5,4,3,1,1,1.0,0,5598.0
1120,202401,2,3,8,5,1,1,11.4,0,19309.0
1121,202401,2,9,5,3,1,1,5.9,0,36138.0
1122,202401,2,2,8,3,1,1,10.3,0,63618.0
1123,202401,2,3,5,6,1,1,8.9,0,48410.0
1124,202401,2,1,4,2,1,1,3.5,0,13759.0
1125,202401,2,3,3,6,1,1,8.2,0,29034.0
1126,202401,2,1,4,1,1,1,11.8,0,49133.0
1127,202401,2,3,5,5,1,1,8.1,0,16224.0
1128,202401,3,3,2,8,1,1,2.0,0,5524.0
1129,202401,3,3,3,2,1,1,2.0,0,9660.0
1130,202401,3,3,2,7,1,1,3.8,0,20654.0
1131,202401,3,1,4,1,1,1,3.1,0,8603.0
1132,202401,3,2,2,6,1,1,0.6,0,5575.0
1133,202401,3,1,8,1,1,1,3.8,0,14575.0
1134,202401,3,1,5,1,1,1,1.2,0,6972.0
1135,202401,3,1,5,2,1,1,2.0,0,8490.0
1136,202401,3,2,2,5,1,1,2.5,0,19463.0
1137,202401,3,1,8,8,1,1,0.9,0,4176.0
1138,202401,3,6,1,2,1,1,2.4,0,21451.0
1139,202401,3,3,4,6,1,1,1.0,0,6663.0
1140,202401,3,7,2,1,1,1,2.9,0,13257.0
1141,202401,3,7,5,7,1,1,0.7,0,6639.0
1142,202401,3,9,1,2,1,1,2.3,0,16475.0
1143,202401,3,1,5,6,1,1,1.6,0,13627.0
1144,202401,3,4,1,3,1,1,3.9,0,27207.0
1145,202401,3,4,7,1,1,1,1.9,0,14598.0
1146,202401,3,7,2,5,1,1,3.3,0,20707.0
1147,202401,3,4,4,3,1,1,3.4,0,22664.0
1148,202401,3,2,2,8,1,1,3.8,0,16751.0
1149,202401,3,4,2,7,1,1,2.0,0,13589.0
1150,202401,3,3,3,1,1,1,2.1,0,9954.0
1151,202401,3,4,2,2,1,1,3.3,0,16006.0
1152,202401,3,6,7,2,1,1,2.4,0,14687.0
1153,202401,3,1,1,2,1,1,3.0,0,17753.0
1154,202401,3,9,2,6,1,1,2.1,0,15803.0
1155,202401,3,4,8,1,1,1,0.6,0,2397.0
1156,202401,3,8,2,2,1,1,2.8,0,14159.0
1157,202401,3,5,5,2,1,1,1.9,0,14764.0
1158,202401,3,2,3,6,1,1,2.0,0,9215.0
1159,202401,3,1,1,6,1,1,1.0,0,3261.0
1160,202401,3,5,8,6,1,1,1.0,0,3958.0
1161,202401,3,4,2,6,1,1,2.5,0,19684.0
1162,202401,3,6,2,1,1,1,3.4,0,15412.0
1163,202401,3,2,2,2,1,1,0.4,0,2498.0
1164,202401,3,2,1,1,1,1,2.3,0,17069.0
1165,202401,3,1,6,8,1,1,3.1,0,9730.0
1166,202401,4,1,5,2,1,1,2.0,0,14857.0
1167,202401,4,1,1,2,1,1,3.8,0,29588.0
1168,202401,4,1,4,3,1,1,0.6,0,5546.0
1169,202401,4,1,2,1,1,1,3.3,0,40628.0
1170,202401,4,1,2,1,1,1,2.4,0,17269.0
1171,202401,4,6,8,5,1,1,1.1,0,9038.0
1172,202401,4,4,4,2,1,1,3.5,0,44465.0
1173,202401,4,2,5,5,1,1,0.5,0,6209.0
1174,202401,4,1,8,2,1,1,2.6,0,14926.0
